ChemicalID,DiseaseID,label
C120851,MESH:D015620,0
C518915,MESH:D008180,0
D052160,MESH:D008545,1
C082097,MESH:D011218,0
D000077786,MESH:D007674,1
C107087,MESH:D009503,1
C482378,MESH:D010051,1
D011804,MESH:D001987,0
C045693,MESH:D013203,1
D009566,MESH:D007898,0
C009505,MESH:D013964,1
C561038,MESH:D013614,0
D000069449,MESH:D055963,0
D006827,MESH:D005334,1
C071482,MESH:D015431,1
C002471,MESH:D014653,0
D011433,MESH:D006948,1
D001507,MESH:D016400,0
D002994,MESH:D016883,1
C432684,MESH:D009373,0
C037055,MESH:D003921,1
D013444,MESH:D005902,0
C041836,MESH:D016780,0
D000077336,MESH:D013964,0
C519885,MESH:D013746,0
D006585,MESH:D056627,0
C512195,MESH:D006331,0
C019470,MESH:D006558,0
D008775,MESH:D001424,1
D008727,MESH:D014594,1
D005664,MESH:D002418,1
D009270,MESH:D010259,1
D009963,MESH:D003550,0
C020809,MESH:D015431,1
D000998,MESH:D011507,0
D012980,MESH:D016780,0
D014750,MESH:D009362,1
D000255,MESH:D018262,0
C582845,MESH:D046748,0
C000628792,MESH:D000755,1
C424423,MESH:D004314,0
D002749,MESH:D012563,1
D013726,MESH:D003371,1
D000420,MESH:D012141,1
D011134,MESH:D015431,1
C106592,MESH:D006317,1
D061267,MESH:D011557,0
D052638,MESH:D005234,1
C023617,MESH:C566506,0
C024657,MESH:D018458,0
C074024,MESH:D002532,0
D009525,MESH:D001327,1
D016685,MESH:C535474,1
D002077,MESH:D010149,1
D006220,MESH:D013375,1
C013786,MESH:D056486,1
D009568,MESH:D003329,1
C006741,MESH:D008881,0
D000431,MESH:D018754,1
C473711,MESH:D006259,0
C002356,MESH:D018302,0
C061132,MESH:D012735,0
C547346,MESH:C535933,0
D010424,MESH:D004827,1
D000960,MESH:D009203,1
D008727,MESH:D019457,0
C012134,MESH:D002375,1
D002066,MESH:D008228,1
C093875,MESH:D011183,1
C045965,MESH:D008305,0
D005406,MESH:D014854,0
D016559,MESH:D012509,0
C002503,MESH:D003490,0
D000077182,MESH:D008545,1
C033789,MESH:C531795,0
C025351,MESH:D004421,1
C507057,MESH:D054556,0
C105370,MESH:D020294,0
D010634,MESH:D020191,1
C013785,MESH:D006948,1
